Chunk #, JSON Bytes, JSON+DEFLATE_SPEED Bytes, JSON+DEFLATE_SPEED ms, JSON+DEFLATE_DEFAULT Bytes, JSON+DEFLATE_DEFAULT ms, JSON+DEFLATE_MAX Bytes, JSON+DEFLATE_MAX ms, ascii85 Bytes, DEFLATE_SPEED+ascii85 Bytes, DEFLATE_DEFAULT+ascii85 Bytes, DEFLATE_MAX+ascii85 Bytes, ascii85+DEFLATE_SPEED Bytes, ascii85+DEFLATE_DEFAULT Bytes, ascii85+DEFLATE_MAX Bytes, CBOR Bytes, CBOR+DEFLATE_SPEED Bytes, CBOR+DEFLATE_SPEED ms, CBOR+DEFLATE_DEFAULT Bytes, CBOR+DEFLATE_DEFAULT ms, CBOR+DEFLATE_MAX Bytes, CBOR+DEFLATE_MAX ms
1 , 322639 ,  169773 , 7 ,  163492 , 17 ,  163112 , 38 , 207938 ,  190863 ,  189780 ,  189934 ,  157388 ,  154458 ,  154296 ,  161331 ,  142552 , 5 ,  141978 , 8 ,  141942 , 20
2 , 322639 ,  169370 , 7 ,  163237 , 17 ,  162921 , 32 , 208102 ,  191119 ,  189917 ,  189940 ,  157527 ,  154481 ,  154286 ,  161331 ,  142817 , 5 ,  141851 , 8 ,  141794 , 19
3 , 322639 ,  169355 , 7 ,  163065 , 18 ,  162743 , 32 , 207776 ,  190769 ,  189547 ,  189381 ,  157397 ,  154515 ,  154354 ,  161331 ,  142598 , 5 ,  141672 , 8 ,  141605 , 19
4 , 322639 ,  169409 , 6 ,  162816 , 17 ,  162522 , 35 , 209974 ,  190429 ,  189071 ,  189296 ,  157450 ,  154376 ,  154230 ,  161331 ,  142286 , 6 ,  141578 , 12 ,  141515 , 20
5 , 322639 ,  168768 , 6 ,  162295 , 17 ,  161986 , 28 , 207798 ,  189920 ,  188422 ,  188102 ,  157452 ,  154604 ,  154430 ,  161331 ,  141831 , 5 ,  140838 , 8 ,  140788 , 18
6 , 322639 ,  168570 , 6 ,  161593 , 17 ,  161309 , 28 , 207964 ,  189883 ,  187648 ,  187825 ,  157494 ,  154511 ,  154355 ,  161331 ,  141872 , 5 ,  140286 , 8 ,  140184 , 19
7 , 322639 ,  168676 , 6 ,  161982 , 17 ,  161591 , 36 , 207825 ,  188938 ,  188163 ,  187842 ,  157330 ,  154416 ,  154248 ,  161331 ,  141404 , 5 ,  140571 , 8 ,  140495 , 22
8 , 322639 ,  168423 , 7 ,  161400 , 17 ,  161042 , 30 , 207821 ,  189470 ,  187391 ,  187413 ,  157530 ,  154599 ,  154412 ,  161331 ,  141749 , 5 ,  139977 , 8 ,  139826 , 20
9 , 1803751 ,  608976 , 27 ,  553897 , 63 ,  543451 , 122 , 1150906 ,  646052 ,  620514 ,  614034 ,  649312 ,  615041 ,  610322 ,  901887 ,  482566 , 18 ,  463944 , 28 ,  459115 , 113
10 , 3823521 ,  1047632 , 47 ,  912826 , 112 ,  886368 , 192 , 2443812 ,  1066981 ,  1002166 ,  982610 ,  1204397 ,  1114047 ,  1097756 ,  1911772 ,  796824 , 29 ,  748244 , 49 ,  734369 , 231
11 , 2938989 ,  1016519 , 45 ,  925445 , 105 ,  909766 , 200 , 1860252 ,  1061154 ,  1019868 ,  1011490 ,  1093150 ,  1042425 ,  1036952 ,  1469506 ,  792405 , 30 ,  761760 , 44 ,  755462 , 187
12 , 3026883 ,  1076231 , 47 ,  976254 , 112 ,  959578 , 211 , 1917698 ,  1126186 ,  1082516 ,  1074925 ,  1160046 ,  1108461 ,  1103053 ,  1513453 ,  841410 , 32 ,  808657 , 47 ,  802982 , 188
13 , 2674709 ,  1005594 , 45 ,  923455 , 104 ,  910858 , 200 , 1681171 ,  1063420 ,  1028471 ,  1023828 ,  1057634 ,  1013735 ,  1010466 ,  1337366 ,  794871 , 31 ,  768452 , 46 ,  764592 , 157
14 , 2620941 ,  1031575 , 46 ,  950454 , 107 ,  938681 , 198 , 1647559 ,  1092191 ,  1059074 ,  1051758 ,  1064918 ,  1022138 ,  1019245 ,  1310482 ,  815530 , 32 ,  790658 , 45 ,  785939 , 156
15 , 2491641 ,  1032531 , 44 ,  960557 , 104 ,  950496 , 196 , 1559755 ,  1108131 ,  1077832 ,  1073969 ,  1042768 ,  1003840 ,  1001806 ,  1245832 ,  827289 , 31 ,  805472 , 43 ,  801911 , 147
16 , 2626267 ,  1076284 , 46 ,  1000453 , 109 ,  988726 , 204 , 1649993 ,  1156988 ,  1125830 ,  1119221 ,  1098608 ,  1057086 ,  1054291 ,  1313145 ,  863646 , 32 ,  841072 , 46 ,  835937 , 166
17 , 2589355 ,  1058231 , 45 ,  987765 , 109 ,  976928 , 196 , 1626758 ,  1138434 ,  1108104 ,  1101700 ,  1085409 ,  1043866 ,  1041481 ,  1294689 ,  850467 , 32 ,  827616 , 46 ,  823316 , 169
18 , 2605999 ,  1106923 , 52 ,  1033330 , 112 ,  1023686 , 206 , 1637859 ,  1185410 ,  1155886 ,  1149895 ,  1109534 ,  1069293 ,  1067210 ,  1303011 ,  885612 , 33 ,  863330 , 49 ,  859233 , 161
19 , 2863543 ,  1218022 , 52 ,  1132265 , 125 ,  1121805 , 239 , 1808703 ,  1289675 ,  1253639 ,  1246808 ,  1218907 ,  1174267 ,  1171250 ,  1431783 ,  962768 , 36 ,  935980 , 50 ,  931046 , 189
20 , 2980453 ,  1258216 , 54 ,  1166977 , 129 ,  1156056 , 268 , 1879118 ,  1318237 ,  1280608 ,  1272719 ,  1269640 ,  1224334 ,  1221272 ,  1490238 ,  984890 , 39 ,  956664 , 53 ,  951043 , 207
21 , 3251527 ,  1385491 , 62 ,  1284535 , 147 ,  1272590 , 335 , 2050679 ,  1414694 ,  1367955 ,  1355035 ,  1403703 ,  1353509 ,  1349672 ,  1625775 ,  1056551 , 41 ,  1021295 , 58 ,  1012128 , 266
22 , 3360209 ,  1426526 , 60 ,  1319585 , 148 ,  1306712 , 334 , 2124111 ,  1439892 ,  1391295 ,  1377793 ,  1435245 ,  1383067 ,  1378213 ,  1680116 ,  1075869 , 41 ,  1039681 , 58 ,  1029556 , 270
23 , 3378824 ,  1411846 , 60 ,  1302177 , 146 ,  1288994 , 324 , 2140424 ,  1412518 ,  1364872 ,  1350821 ,  1430464 ,  1375602 ,  1369915 ,  1689423 ,  1055215 , 42 ,  1019463 , 58 ,  1009103 , 261
24 , 3536092 ,  1478751 , 66 ,  1356965 , 153 ,  1342367 , 350 , 2235200 ,  1486453 ,  1435434 ,  1420681 ,  1513403 ,  1459119 ,  1454395 ,  1768057 ,  1110339 , 44 ,  1072138 , 60 ,  1061157 , 284
25 , 3731014 ,  1537738 , 65 ,  1405984 , 158 ,  1389643 , 358 , 2359644 ,  1516083 ,  1461646 ,  1443146 ,  1574490 ,  1518142 ,  1511620 ,  1865518 ,  1133317 , 42 ,  1092305 , 62 ,  1078672 , 305
26 , 3645590 ,  1529834 , 65 ,  1409186 , 157 ,  1394007 , 358 , 2311269 ,  1517144 ,  1460785 ,  1441963 ,  1543281 ,  1488460 ,  1481805 ,  1822806 ,  1133043 , 46 ,  1090809 , 65 ,  1077165 , 336
27 , 3695074 ,  1616385 , 67 ,  1500951 , 163 ,  1487449 , 361 , 2344893 ,  1608691 ,  1556960 ,  1540345 ,  1611238 ,  1555684 ,  1550954 ,  1847548 ,  1201548 , 45 ,  1163193 , 64 ,  1150460 , 287
28 , 3582090 ,  1600828 , 69 ,  1493773 , 163 ,  1482418 , 319 , 2275821 ,  1678790 ,  1633665 ,  1623528 ,  1588385 ,  1536498 ,  1532786 ,  1791056 ,  1254484 , 47 ,  1220825 , 64 ,  1213264 , 244
29 , 3294830 ,  1478048 , 62 ,  1380453 , 149 ,  1370313 , 277 , 2089255 ,  1578658 ,  1540577 ,  1534492 ,  1462303 ,  1415758 ,  1412906 ,  1647426 ,  1179687 , 44 ,  1151225 , 59 ,  1146193 , 206
30 , 3475062 ,  1553995 , 65 ,  1447600 , 156 ,  1436311 , 318 , 2202956 ,  1596105 ,  1549662 ,  1537744 ,  1533010 ,  1483368 ,  1480216 ,  1737542 ,  1191822 , 44 ,  1158159 , 61 ,  1149071 , 247
31 , 3396394 ,  1486961 , 62 ,  1375385 , 148 ,  1363014 , 313 , 2150616 ,  1542304 ,  1495205 ,  1482642 ,  1473072 ,  1423552 ,  1419286 ,  1698208 ,  1152074 , 44 ,  1116953 , 59 ,  1108212 , 241
32 , 3152052 ,  1422383 , 59 ,  1331136 , 142 ,  1321723 , 277 , 1992854 ,  1499270 ,  1461139 ,  1453401 ,  1381194 ,  1336136 ,  1333242 ,  1576037 ,  1120246 , 42 ,  1091682 , 56 ,  1085845 , 199
33 , 3104920 ,  1416717 , 62 ,  1327589 , 141 ,  1318401 , 275 , 1965829 ,  1492595 ,  1457364 ,  1449650 ,  1366634 ,  1322866 ,  1319801 ,  1552471 ,  1114562 , 42 ,  1088558 , 56 ,  1082728 , 201
34 , 3015352 ,  1393001 , 57 ,  1312970 , 141 ,  1304810 , 260 , 1905929 ,  1485523 ,  1452084 ,  1446162 ,  1341500 ,  1299300 ,  1297057 ,  1507687 ,  1109385 , 42 ,  1084839 , 55 ,  1080305 , 182
35 , 3009046 ,  1394849 , 62 ,  1314098 , 147 ,  1306458 , 260 , 1901843 ,  1509035 ,  1478054 ,  1474372 ,  1339335 ,  1297571 ,  1295718 ,  1504534 ,  1126875 , 51 ,  1103663 , 66 ,  1100396 , 182
36 , 3065502 ,  1402623 , 60 ,  1318680 , 160 ,  1309931 , 315 , 1937871 ,  1507445 ,  1473552 ,  1467737 ,  1363782 ,  1321297 ,  1319011 ,  1532762 ,  1125884 , 44 ,  1100452 , 57 ,  1095842 , 194
37 , 3009186 ,  1373662 , 59 ,  1292985 , 145 ,  1284364 , 281 , 1901234 ,  1478218 ,  1446794 ,  1441489 ,  1335331 ,  1293715 ,  1291580 ,  1504604 ,  1104118 , 44 ,  1080833 , 64 ,  1076687 , 210
38 , 2919496 ,  1325696 , 56 ,  1246878 , 138 ,  1238111 , 244 , 1844690 ,  1423039 ,  1392929 ,  1385145 ,  1294969 ,  1253340 ,  1251266 ,  1459759 ,  1062970 , 41 ,  1040050 , 54 ,  1035389 , 174
39 , 2862942 ,  1316080 , 56 ,  1241308 , 136 ,  1233013 , 251 , 1804023 ,  1425168 ,  1396776 ,  1391323 ,  1262274 ,  1220798 ,  1218928 ,  1431482 ,  1064635 , 42 ,  1043082 , 54 ,  1039339 , 185
40 , 2762052 ,  1246903 , 53 ,  1173521 , 129 ,  1164475 , 241 , 1737375 ,  1351088 ,  1323541 ,  1316696 ,  1210669 ,  1170063 ,  1167968 ,  1381037 ,  1009031 , 39 ,  987952 , 53 ,  983621 , 196
41 , 2911988 ,  1327946 , 55 ,  1251744 , 136 ,  1242638 , 269 , 1832221 ,  1447691 ,  1419583 ,  1413540 ,  1286602 ,  1243644 ,  1241777 ,  1456005 ,  1081667 , 43 ,  1059721 , 54 ,  1055566 , 202
42 , 3140116 ,  1430485 , 60 ,  1345730 , 147 ,  1335958 , 300 , 1977961 ,  1503924 ,  1468157 ,  1460516 ,  1382479 ,  1335027 ,  1332814 ,  1570069 ,  1123698 , 42 ,  1096432 , 59 ,  1091549 , 210
43 , 2883058 ,  1318230 , 55 ,  1244035 , 132 ,  1234870 , 256 , 1817139 ,  1435598 ,  1403355 ,  1398846 ,  1280138 ,  1237869 ,  1235929 ,  1441540 ,  1072752 , 40 ,  1048717 , 54 ,  1044721 , 174
44 , 3022372 ,  1361056 , 57 ,  1279034 , 137 ,  1268829 , 274 , 1905209 ,  1473271 ,  1438101 ,  1430946 ,  1331187 ,  1286842 ,  1284417 ,  1511197 ,  1100431 , 42 ,  1074824 , 56 ,  1069438 , 196
45 , 3161080 ,  1419669 , 60 ,  1326666 , 142 ,  1315504 , 284 , 1997168 ,  1530429 ,  1492558 ,  1483261 ,  1397637 ,  1351995 ,  1349086 ,  1580551 ,  1142910 , 44 ,  1115010 , 58 ,  1108262 , 213
46 , 3280642 ,  1485884 , 67 ,  1394496 , 155 ,  1382950 , 335 , 2070965 ,  1555681 ,  1516051 ,  1502437 ,  1447535 ,  1398852 ,  1395494 ,  1640332 ,  1162352 , 44 ,  1132636 , 60 ,  1122829 , 241
47 , 3305282 ,  1497090 , 63 ,  1403625 , 151 ,  1392377 , 338 , 2084347 ,  1573629 ,  1533503 ,  1522575 ,  1454399 ,  1406412 ,  1403367 ,  1652652 ,  1175448 , 46 ,  1145723 , 62 ,  1137424 , 249
48 , 3223558 ,  1467430 , 65 ,  1375587 , 152 ,  1364976 , 319 , 2034105 ,  1551840 ,  1514002 ,  1503210 ,  1418220 ,  1370582 ,  1367490 ,  1611790 ,  1159087 , 44 ,  1131100 , 60 ,  1123582 , 241
49 , 3287772 ,  1439865 , 61 ,  1340667 , 146 ,  1329287 , 314 , 2069745 ,  1517087 ,  1476669 ,  1465077 ,  1421688 ,  1372110 ,  1368587 ,  1643897 ,  1133020 , 43 ,  1102917 , 59 ,  1094097 , 240
50 , 3288320 ,  1438848 , 63 ,  1337881 , 145 ,  1326650 , 309 , 2069969 ,  1499984 ,  1459603 ,  1448658 ,  1422475 ,  1373498 ,  1370208 ,  1644171 ,  1120185 , 44 ,  1089976 , 58 ,  1082121 , 229
51 , 3571984 ,  1485682 , 64 ,  1364253 , 152 ,  1351046 , 312 , 2254576 ,  1562053 ,  1510288 ,  1502168 ,  1499795 ,  1443883 ,  1439819 ,  1786003 ,  1167026 , 44 ,  1128042 , 61 ,  1121792 , 222
52 , 4020414 ,  1745606 , 75 ,  1619250 , 182 ,  1606069 , 430 , 2544385 ,  1761902 ,  1710426 ,  1697761 ,  1755091 ,  1697034 ,  1692736 ,  2010218 ,  1315833 , 50 ,  1277705 , 72 ,  1268151 , 297
53 , 3983428 ,  1714299 , 75 ,  1588876 , 179 ,  1575932 , 426 , 2525873 ,  1812090 ,  1762784 ,  1752014 ,  1708976 ,  1648105 ,  1642911 ,  1991725 ,  1353670 , 53 ,  1317078 , 74 ,  1309415 , 300
54 , 3792552 ,  1682192 , 75 ,  1578922 , 178 ,  1567708 , 451 , 2399000 ,  1753559 ,  1709104 ,  1699229 ,  1658125 ,  1605117 ,  1601089 ,  1896287 ,  1309179 , 52 ,  1276650 , 71 ,  1269409 , 305
55 , 3962828 ,  1768431 , 74 ,  1657269 , 183 ,  1645807 , 445 , 2506859 ,  1803243 ,  1759781 ,  1748374 ,  1730755 ,  1675843 ,  1671040 ,  1981425 ,  1347076 , 51 ,  1314713 , 72 ,  1306149 , 316
56 , 3999490 ,  1667262 , 72 ,  1533177 , 169 ,  1516908 , 384 , 2536797 ,  1757626 ,  1700206 ,  1688284 ,  1692377 ,  1630394 ,  1623652 ,  1999756 ,  1313162 , 50 ,  1270719 , 71 ,  1261127 , 295
57 , 3280478 ,  1389827 , 58 ,  1287903 , 143 ,  1276318 , 302 , 2074719 ,  1478372 ,  1433455 ,  1424937 ,  1409297 ,  1359678 ,  1356164 ,  1640250 ,  1103742 , 42 ,  1070011 , 58 ,  1064456 , 207
58 , 3268638 ,  1404863 , 59 ,  1307216 , 165 ,  1294807 , 276 , 2067939 ,  1513508 ,  1473907 ,  1464012 ,  1410840 ,  1362217 ,  1358417 ,  1634330 ,  1130029 , 43 ,  1100584 , 59 ,  1094042 , 203
59 , 3484336 ,  1514078 , 63 ,  1411342 , 154 ,  1398693 , 334 , 2204009 ,  1638246 ,  1594992 ,  1587021 ,  1512098 ,  1461033 ,  1457158 ,  1742179 ,  1223274 , 46 ,  1191254 , 65 ,  1185301 , 250
60 , 3261866 ,  1401420 , 62 ,  1303086 , 147 ,  1291515 , 303 , 2057243 ,  1510654 ,  1470234 ,  1463125 ,  1403698 ,  1355840 ,  1352592 ,  1630944 ,  1128750 , 43 ,  1098195 , 59 ,  1092849 , 211
61 , 3356716 ,  1458471 , 61 ,  1359528 , 148 ,  1347798 , 311 , 2124548 ,  1581137 ,  1539688 ,  1532205 ,  1453309 ,  1405200 ,  1401794 ,  1678369 ,  1181390 , 45 ,  1150088 , 62 ,  1145048 , 228
62 , 3250834 ,  1427243 , 61 ,  1332312 , 147 ,  1321886 , 314 , 2053160 ,  1537980 ,  1496981 ,  1492145 ,  1414769 ,  1368312 ,  1365381 ,  1625428 ,  1148365 , 45 ,  1118118 , 61 ,  1114026 , 216
63 , 3132770 ,  1404336 , 60 ,  1322901 , 145 ,  1313739 , 297 , 1975659 ,  1529998 ,  1494582 ,  1490412 ,  1373683 ,  1330880 ,  1328232 ,  1566396 ,  1142506 , 46 ,  1116917 , 61 ,  1112659 , 201
64 , 3221998 ,  1460741 , 61 ,  1376289 , 148 ,  1367839 , 294 , 2038169 ,  1603419 ,  1568746 ,  1564843 ,  1424754 ,  1380128 ,  1377208 ,  1611010 ,  1197644 , 47 ,  1171674 , 70 ,  1168324 , 209
65 , 3343436 ,  1517774 , 65 ,  1428073 , 158 ,  1419374 , 312 , 2118648 ,  1643800 ,  1612380 ,  1606908 ,  1486101 ,  1439201 ,  1436409 ,  1671729 ,  1228233 , 48 ,  1204862 , 63 ,  1200397 , 213
66 , 3179228 ,  1433118 , 61 ,  1353000 , 157 ,  1344605 , 314 , 2012070 ,  1570964 ,  1536039 ,  1531280 ,  1398508 ,  1354239 ,  1351840 ,  1589625 ,  1173143 , 46 ,  1147771 , 62 ,  1144017 , 198
67 , 3308678 ,  1511282 , 64 ,  1428003 , 154 ,  1419682 , 333 , 2092207 ,  1656398 ,  1620626 ,  1616176 ,  1470749 ,  1424814 ,  1422541 ,  1654350 ,  1236952 , 47 ,  1211058 , 63 ,  1207273 , 217
68 , 3530078 ,  1572014 , 67 ,  1464318 , 160 ,  1452389 , 326 , 2238592 ,  1694291 ,  1652926 ,  1643728 ,  1548097 ,  1498242 ,  1494273 ,  1765050 ,  1265094 , 49 ,  1234697 , 68 ,  1228367 , 227
69 , 3535044 ,  1603312 , 68 ,  1505587 , 166 ,  1496080 , 316 , 2246411 ,  1753528 ,  1714450 ,  1709265 ,  1570701 ,  1519204 ,  1515655 ,  1767533 ,  1309178 , 52 ,  1280618 , 71 ,  1276393 , 212
70 , 3965114 ,  1760341 , 77 ,  1645298 , 187 ,  1634059 , 368 , 2530655 ,  1915848 ,  1873512 ,  1865232 ,  1750325 ,  1692405 ,  1687333 ,  1982568 ,  1431089 , 59 ,  1399785 , 74 ,  1393209 , 239
71 , 4476722 ,  1995886 , 90 ,  1866133 , 209 ,  1854203 , 423 , 2860398 ,  2158323 ,  2111115 ,  2102359 ,  1995975 ,  1930918 ,  1925536 ,  2238372 ,  1612817 , 63 ,  1577123 , 89 ,  1570639 , 289
72 , 4130598 ,  1859966 , 85 ,  1743223 , 195 ,  1732858 , 388 , 2622380 ,  2033764 ,  1989593 ,  1983766 ,  1830786 ,  1771465 ,  1767714 ,  2065310 ,  1518808 , 59 ,  1486347 , 78 ,  1482170 , 258
